total	pitch	player	tau	brier	n_pitchers	exp	val	decay	alpha	n_feat	n_train	sec
69.10339473427115	69.97198464722288	67.07668493738377	0.34153369874767536	0.6005603070555423	321	hist_lgbm-era	2024	1.0	100.0	61	1002910	38
70.42609148243939	69.88985491620554	71.67731013698504	0.4335462027397009	0.6022029016758893	306	hist_lgbm-era	2022	1.0	100.0	61	586361	31
64.05191290258264	69.72804815396536	50.80759731602299	0.016151946320459864	0.6054390369206928	303	hist_lgbm-from2020-era	2023	1.0	100.0	61	623747	34
69.21530777734586	69.96747297489394	67.46025564973365	0.3492051129946729	0.6006505405021213	321	hist_lgbm-from2020-era	2024	1.0	100.0	61	836349	38
70.19555396623247	69.87185992912633	70.95084005281343	0.41901680105626865	0.6025628014174733	306	hist_lgbm-from2020-era	2022	1.0	100.0	61	419800	30
64.12926129366508	69.74393847613611	51.02834786789937	0.02056695735798746	0.6051212304772778	303	hist_lgbm-from2020-era-noBat	2023	1.0	100.0	50	623747	29
69.12095952970903	69.98289149325825	67.10978494809416	0.3421956989618833	0.6003421701348352	321	hist_lgbm-from2020-era-noBat	2024	1.0	100.0	50	836349	32
70.32200203278168	69.87524499733809	71.3644351154834	0.42728870230966814	0.6024951000532385	306	hist_lgbm-from2020-era-noBat	2022	1.0	100.0	50	419800	23
63.849805775875474	69.63041185944499	50.361724914213276	0.007234498284265514	0.6073917628111003	303	hist_lgbm-from2021-era	2023	1.0	100.0	61	417112	29
69.14227782028638	69.96327895099168	67.22660851530733	0.34453217030614647	0.6007344209801663	321	hist_lgbm-from2021-era	2024	1.0	100.0	61	629714	35
69.88632156795872	69.78552783370925	70.12150694787415	0.40243013895748325	0.604289443325815	306	hist_lgbm-from2021-era	2022	1.0	100.0	61	213165	25
64.61395068558281	69.77035341062631	52.58234432714794	0.05164688654295894	0.6045929317874739	303	hist_lgbm-noBat	2023	1.0	100.0	50	790308	29
69.16357579944858	69.98118782473628	67.25581440711062	0.3451162881422123	0.6003762435052745	321	hist_lgbm-noBat	2024	1.0	100.0	50	1002910	34
70.26476671808278	69.88532224488222	71.15013715555078	0.42300274311101554	0.6022935551023557	306	hist_lgbm-noBat	2022	1.0	100.0	50	586361	25
64.22757942648711	69.74950718298145	51.34308132800035	0.026861626560007	0.605009856340371	303	hist_lgbm-noTM	2023	1.0	100.0	53	790308	34
68.87490674993441	69.96099687250309	66.34069646394084	0.3268139292788171	0.6007800625499382	321	hist_lgbm-noTM	2024	1.0	100.0	53	1002910	37
70.48405024083854	69.88172957949006	71.88946511731835	0.4377893023463669	0.6023654084101989	306	hist_lgbm-noTM	2022	1.0	100.0	53	586361	28
69.24215666466834	70.01500752277853	67.43883799574458	0.3487767599148913	0.5996998495444295	321	hist_lgbm_reg-x5	2024	1.0	100.0	61	1002910	156
64.33242938685365	69.81592594199022	51.53760409153498	0.030752081830699628	0.6036814811601955	303	hist_lgbm_reg-x5	2023	1.0	100.0	61	790308	77
70.55178610728743	69.93992147020059	71.97947026049005	0.439589405209801	0.6012015705959881	306	hist_lgbm_reg-x5	2022	1.0	100.0	61	586361	71
68.7943394832859	69.99777141466802	65.98633164339427	0.3197266328678854	0.6000445717066396	321	hist_lgbm_reg-noTM	2024	1.0	100.0	53	1002910	89
64.24021794513385	69.78067610379051	51.31248224160164	0.026249644832032876	0.6043864779241896	303	hist_lgbm_reg-noTM	2023	1.0	100.0	53	790308	66
70.51636336735825	69.92697276897566	71.89160809691766	0.43783216193835345	0.6014605446204869	306	hist_lgbm_reg-noTM	2022	1.0	100.0	53	586361	59
69.29585378994457	70.0107756587469	67.62770276273918	0.3525540552547835	0.5997844868250621	321	hist_lgbm_reg-noTeam	2024	1.0	100.0	59	1002910	90
64.35921746635401	69.79424539649531	51.67748562935763	0.03354971258715276	0.6041150920700937	303	hist_lgbm_reg-noTeam	2023	1.0	100.0	59	790308	77
70.73494779297842	69.94258662961201	72.58379050750005	0.45167581015000124	0.6011482674077596	306	hist_lgbm_reg-noTeam	2022	1.0	100.0	59	586361	15
68.95044915734162	69.99798600299111	66.50619651749284	0.33012393034985665	0.6000402799401778	321	hist_lgbm_reg-noTM-noTeam	2024	1.0	100.0	51	1002910	20
64.24034484173718	69.76680678375506	51.34526697702883	0.026905339540576577	0.6046638643248987	303	hist_lgbm_reg-noTM-noTeam	2023	1.0	100.0	51	790308	16
70.89347595467513	69.95047151290458	73.09381965213973	0.4618763930427944	0.6009905697419081	306	hist_lgbm_reg-noTM-noTeam	2022	1.0	100.0	51	586361	14
69.08022941506593	70.00147538793678	66.93065547836731	0.33861310956734636	0.5999704922412644	321	hist_lgbm_reg-noTM-noTeam-noBat	2024	1.0	100.0	40	1002910	16
64.33980444013082	69.77400615570268	51.6600004371298	0.03320000874259612	0.6045198768859463	303	hist_lgbm_reg-noTM-noTeam-noBat	2023	1.0	100.0	40	790308	12
70.90585054554717	69.95161794295556	73.13239328492759	0.4626478656985518	0.6009676411408885	306	hist_lgbm_reg-noTM-noTeam-noBat	2022	1.0	100.0	40	586361	10
66.52601362042842	69.94909264337406	58.53882923355527	0.17077658467110543	0.601018147132519	321	hist_lgbm_reg-noTM-noTeam-noBat-noSeason	2024	1.0	100.0	39	1002910	15
64.41143771557563	69.81264334893676	51.808624571066375	0.03617249142132757	0.6037471330212648	303	hist_lgbm_reg-noTM-noTeam-noBat-noSeason	2023	1.0	100.0	39	790308	12
70.70235479389082	69.94745671272783	72.4637836499378	0.4492756729987558	0.6010508657454434	306	hist_lgbm_reg-noTM-noTeam-noBat-noSeason	2022	1.0	100.0	39	586361	10
68.5555544476699	70.00712063685609	65.16856667290214	0.3033713334580428	0.5998575872628782	321	blend_rf_lgbmreg-noTM-noTeam	2024	1.0	100.0	51	1002910	31
64.22672944582338	69.83259653027459	51.14637291543724	0.02292745830874478	0.6033480693945085	303	blend_rf_lgbmreg-noTM-noTeam	2023	1.0	100.0	51	790308	26
70.89747641621415	69.95618645796033	73.09381965213973	0.4618763930427944	0.6008762708407934	306	blend_rf_lgbmreg-noTM-noTeam	2022	1.0	100.0	51	586361	20
